序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,中药分为：,中药种植，中药创新药，中药百年老字号，中药驰名药品， 中药茶饮,,,,,,,,,,ABCDEFGH,x77-中药
2,振东制药-300,中药种植,陕西-长治,中药种植面积A股第1，,,,,,,,,ABCDEFGH,x77-中药
3,盘龙药业,中药种植,陕西-商洛,中药种植面积A股第2，,,,,,,,,ABCDEFGH,x77-中药
4,康弘药业,中药种植,四川-成都,中药种植面积A股第3，,,,,,,,,ABCDEFGH,x77-中药
5,汉森制药,中药种植,湖南-益阳,中药种植面积A股第4，,,,,,,,,ABCDEFGH,x77-中药
6,吉林敖东,中药种植,吉林-延边,人参，灵芝，金莲花,,,,,,,,ABCDEFGH,x77-中药
7,康美药业,中药种植,广东-揭阳,公司在广东，甘肃，安徽等省 合作共建中药材种植,,,,,,,,ABCDEFGH,x77-中药
8,金花股份,中药种植,陕西-西安, 人工虎骨产业化生产基地,,,,,,,,ABCDEFGH,x77-中药
9,康缘药业,中药创新药,江苏-连云港,中药创新药第1，,,,,,,,,ABCDEFGH,x77-中药
10,天士力,中药创新药,天津,中药创新药第2，,,,,,,,,ABCDEFGH,x77-中药
11,以岭药业,中药创新药,河北-石家庄,中药创新药第3，,,,,,,,,ABCDEFGH,x77-中药
12,新天药业,中药创新药,贵州-贵阳,中药创新药第4，,,,,,,,,ABCDEFGH,x77-中药
13,珍宝岛,中药创新药,黑龙江-鸡西,中药创新药第5，,,,,,,,,ABCDEFGH,x77-中药
14,上海医药,中药创新药,上海,中药创新药第6，,,,,,,,,ABCDEFGH,x77-中药
15,佐力药业-300,中药创新药,浙江-湖州,中药创新药第7，,,,,,,,,ABCDEFGH,x77-中药
16,嘉应制药,中药创新药,广东-梅州,中药创新药第8，,,,,,,,,ABCDEFGH,x77-中药
17,维康药业-300,中药创新药,浙江-丽水,黄甲软肝颗粒-治疗乙肝,,,,,,,,ABCDEFGH,x77-中药
18,广誉远,中药百年老字号,陕西-晋中,创于 明嘉靖 20年距今，500年历史,,,,,,,,ABCDEFGH,x77-中药
19,九芝堂,中药百年老字号,湖南-长沙,劳九芝堂药铺，起源于清顺治7年,,,,,,,,ABCDEFGH,x77-中药
20,同仁堂,中药百年老字号,北京,康熙8年，乐家创立,,,,,,,,ABCDEFGH,x77-中药
21,昆药集团,中药百年老字号,云南-昆明,昆明中药厂 ，明太祖期间，有640年,,,,,,,,ABCDEFGH,x77-中药
22,云南白药,中药百年老字号,云南-昆明,彝族名医 曲焕章 成立,,,,,,,,ABCDEFGH,x77-中药
23,片仔癀,中药百年老字号,福建-漳州,,,,,,,,,ABCDEFGH,x77-中药
24,达仁堂,中药百年老字号,天津,乐家老铺,‌同仁堂和达仁堂均为乐氏家族创办的中药老字号，二者同宗同源但独立发展‌。同仁堂由乐显扬创建于1669年，达仁堂则由乐氏第十二代后人乐达仁于1914年在天津创立，两者在品牌定位、核心产品及现代资本结构上存在差异,,,,,,,ABCDEFGH,x77-中药
25,健民集团,中药驰名药品,湖北-武汉,龙牡壮骨颗粒,,,,,,,,ABCDEFGH,x77-中药
26,康恩贝,中药驰名药品,浙江-金华,康恩贝牌肠炎宁,,,,,,,,ABCDEFGH,x77-中药
27,华润三九,中药驰名药品,深圳,999感冒灵，三九胃泰，999皮炎平,,,,,,,,ABCDEFGH,x77-中药
28,桂林三金,中药驰名药品,广西-桂林,西瓜霜,,,,,,,,ABCDEFGH,x77-中药
29,以岭药业,中药驰名药品,河北-石家庄,连花清瘟,,,,,,,,ABCDEFGH,x77-中药
30,贵州三力,中药驰名药品,贵州-安顺,开喉剑喷雾剂,,,,,,,,ABCDEFGH,x77-中药
31,云南白药,中药驰名药品,云南-昆明 ,云安白药，藿香正气水,,,,,,,,ABCDEFGH,x77-中药
32,济川药业,中药驰名药品,湖北-荆州,蒲地蓝口服，小儿鼓翅清热颗粒,gǔ chì，意思是犹振翅,,,,,,,ABCDEFGH,x77-中药
33,片仔癀,中药驰名药品,福建-漳州,片仔癀,,,,,,,,ABCDEFGH,x77-中药
34,江中药业,中药驰名药品,江西-南昌,健胃消食片,,,,,,,,ABCDEFGH,x77-中药
35,葵花药业,中药驰名药品,黑龙江-哈尔滨,小儿肺热咳喘颗粒，小儿柴桂退热颗粒,,,,,,,,ABCDEFGH,x77-中药
36,千金药业,中药驰名药品,湖南-株洲,妇科千金片,,,,,,,,ABCDEFGH,x77-中药
37,同仁堂,中药驰名药品,北京,六味地黄丸，安宫牛黄王,,,,,,,,ABCDEFGH,x77-中药
38,红日药业-300,中药驰名药品,天津,血必净注射液,,,,,,,,ABCDEFGH,x77-中药
39,汉森制药,中药驰名药品,湖南-益阳,四磨口服糖,,,,,,,,ABCDEFGH,x77-中药
40,仁和药业,中药驰名药品,江西-宜春,仁和可立克,,,,,,,,ABCDEFGH,x77-中药
41,特一药业,中药驰名药品,广东-江门,特一止咳宝片,,,,,,,,ABCDEFGH,x77-中药
42,康缘药业,中药驰名药品,江苏-连云港,金振口服液,,,,,,,,ABCDEFGH,x77-中药
43,天目药业,中药驰名药品,浙江-杭州,六味地黄丸，独家剂型，河车大造胶囊，去过独家,,,,,,,,ABCDEFGH,x78-中药
44,佐力药业-300,中药茶饮,浙江-湖州,与浙江中医院互联网医院使用中药净制饮片项目,,,,,,,,ABCDEFGH,x77-中药
45,佛慈制药,中药茶饮,甘肃-兰州,联名奶茶,,,,,,,,ABCDEFGH,x77-中药
