序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,煤炭-主要分为,煤矿企业和 焦炭,,,,,,,,,,ABCDEFGH,x8-煤炭
2,煤炭和焦炭的区别,焦炭是钢铁冶炼过程中不可或缺的原材料,农村取暖一般更适合使用煤炭,煤炭作为天然化石燃料，是从地下深处开采而来的。而焦炭，则是煤炭经过深加工的产物，它在炼焦过程中产生,,,,,,,,ABCDEFGH,x8-煤炭
3,中国神华,煤炭产量前五,北京-东城,全球第一大煤炭上市企业,,,,,,,,ABCDEFGH,x8-煤炭
4,陕西煤业,煤炭产量前五,陕西-西安,煤炭产量第二，15728万吨,,,,,,,,ABCDEFGH,x8-煤炭
5,中煤能源,煤炭产量前五,北京-朝阳,煤炭产量第三，10919万吨,,,,,,,,ABCDEFGH,x8-煤炭
6,兖矿能源,煤炭产量前五,山东-济宁,煤炭产量第四，9953万吨,,,,,,,,ABCDEFGH,x8-煤炭
7,潞安环能,煤炭产量前五,山西-长治,煤炭产量第五，5690万吨,,,,,,,,ABCDEFGH,x8-煤炭
8,潞安名称由来：,"长治市是山西省下辖的地级市，古称上党、潞州、潞安等，位于晋东南地区，地处晋冀豫三省交界处。
其名称“潞安”源于明代，嘉靖八年（1529年）取“长治久安”之意定名",,潞安并非独立的城市，而是山西省长治市的古称之一,,,,,,,,ABCDEFGH,x8-煤炭
9,潞安环能,山西,山西-长治,,,,,,,,,ABCDEFGH,x8-煤炭
10,山西焦煤,山西,山西-太原,,,,,,,,,ABCDEFGH,x8-煤炭
11,山煤国际,山西,山西-太原,,,,,,,,,ABCDEFGH,x8-煤炭
12,晋控煤业,山西,山西-大同,,,,,,,,,ABCDEFGH,x8-煤炭
13,兰花科创,山西,山西-晋城,,,,,,,,,ABCDEFGH,x8-煤炭
14,中煤能源,安徽,安徽,,,,,,,,,ABCDEFGH,x8-煤炭
15,淮北矿业,安徽,安徽-淮北,,,,,,,,,ABCDEFGH,x8-煤炭
16,新集能源,安徽,安徽-淮南,,,,,,,,,ABCDEFGH,x8-煤炭
17,恒源煤电,安徽,安徽-淮北,,,,,,,,,ABCDEFGH,x8-煤炭
18,平煤股份,河南,河南-平顶山,,,,,,,,,ABCDEFGH,x8-煤炭
19,大有能源,河南,河南-三门峡,,,,,,,,,ABCDEFGH,x8-煤炭
20,郑州煤电,河南,河南-郑州,,,,,,,,,ABCDEFGH,x8-煤炭
21,陕西煤业,陕西,陕西-西安,,,,,,,,,ABCDEFGH,x8-煤炭
22,兖矿能源,山东,山东-济宁,,,,,,,,,ABCDEFGH,x8-煤炭
23,电投能源,内蒙,内蒙-通辽,,,,,,,,,ABCDEFGH,x8-煤炭
24,冀中能源,河北,河北-邢台,,,,,,,,,ABCDEFGH,x8-煤炭
25,昊华能源,北京,北京-门头沟,,,,,,,,,ABCDEFGH,x8-煤炭
26,上海能源,上海,上海-浦东,,,,,,,,,ABCDEFGH,x8-煤炭
27,盘江股份,贵州,贵州-六盘水,,,,,,,,,ABCDEFGH,x8-煤炭
28,辽宁能源,辽宁,辽宁-沈阳,,,,,,,,,ABCDEFGH,x8-煤炭
29,安源煤业,江西,江西-萍乡,安源区，隶属于江西省萍乡市,,,,,,,,ABCDEFGH,x8-煤炭
30,陕西黑猫,焦炭,陕西-渭南,,,,,,,,,ABCDEFGH,x8-煤炭
31,宝丰能源,焦炭,宁夏-银川,,,,,,,,,ABCDEFGH,x8-煤炭
32,美锦能源,焦炭,山西-太原,,,,,,,,,ABCDEFGH,x8-煤炭
33,开滦股份,焦炭,河北-唐山,,,,,,,,,ABCDEFGH,x8-煤炭
34,山西焦煤,焦炭,山西-太原,,,,,,,,,ABCDEFGH,x8-煤炭
35,山西焦化,焦炭,山西-临汾,,,,,,,,,ABCDEFGH,x8-煤炭
36,安泰集团,焦炭,山西-晋中,,,,,,,,,ABCDEFGH,x8-煤炭
37,云煤能源,焦炭,云南-昆明,,,,,,,,,ABCDEFGH,x8-煤炭
38,金能科技,焦炭,山东-德州,,,,,,,,,ABCDEFGH,x8-煤炭
39,宝泰隆,焦炭,黑龙江-七台河市,,,,,,,,,ABCDEFGH,x8-煤炭
