序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1.0,民爆分为： ,工业炸药，工业雷管，爆破服务，控制模块,,,,,,,,,,ABCDEFGH,x80-民爆
2.0,易普力,工业炸药,湖南-长沙,,,,,,,,,ABCDEFGH,x80-民爆
3.0,江南化工,工业炸药,安徽-宣城,,,,,,,,,ABCDEFGH,x80-民爆
4.0,广东宏大,工业炸药,广东-广州,,,,,,,,,ABCDEFGH,x80-民爆
5.0,保利联合,工业炸药,贵州-贵阳,,,,,,,,,ABCDEFGH,x80-民爆
6.0,雅化集团,工业炸药,四川雅安,,,,,,,,,ABCDEFGH,x80-民爆
7.0,凯龙股份,工业炸药,湖北-荆门,,,,,,,,,ABCDEFGH,x80-民爆
8.0,国泰集团,工业炸药,江西-南昌,,,,,,,,,ABCDEFGH,x80-民爆
9.0,雪峰科技,工业炸药,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x80-民爆
10.0,同德化工,工业炸药,陕西-忻州（xin),,,,,,,,,ABCDEFGH,x80-民爆
11.0,金奥博,工业炸药,深圳,,,,,,,,,ABCDEFGH,x80-民爆
12.0,江南化工,工业雷管,安徽-宣城,,,,,,,,,ABCDEFGH,x80-民爆
13.0,雅化集团,工业雷管,四川-雅安,,,,,,,,,ABCDEFGH,x80-民爆
14.0,易普力,工业雷管,湖南-长沙,,,,,,,,,ABCDEFGH,x80-民爆
15.0,保利联合,工业雷管,贵州-贵阳,,,,,,,,,ABCDEFGH,x80-民爆
16.0,壶化股份,工业雷管,山西-长治,,,,,,,,,ABCDEFGH,x80-民爆
17.0,金奥博,工业雷管,深圳,,,,,,,,,ABCDEFGH,x80-民爆
18.0,凯龙股份,工业雷管,湖北-荆门,,,,,,,,,ABCDEFGH,x80-民爆
19.0,国泰集团,工业雷管,江西-南昌,,,,,,,,,ABCDEFGH,x80-民爆
20.0,广东宏大,工业雷管,广东-广州,,,,,,,,,ABCDEFGH,x80-民爆
21.0,雪峰科技,工业雷管,西藏-乌鲁木齐,,,,,,,,,ABCDEFGH,x80-民爆
22.0,广东宏大,爆破服务,广州,,,,,,,,,ABCDEFGH,x80-民爆
23.0,易普力,爆破服务,湖南-长沙,,,,,,,,,ABCDEFGH,x80-民爆
24.0,保利联合,爆破服务,贵州-贵阳,,,,,,,,,ABCDEFGH,x80-民爆
25.0,江南化工,爆破服务,安徽-宣城,,,,,,,,,ABCDEFGH,x80-民爆
26.0,雪峰科技,爆破服务,西藏乌鲁木齐,,,,,,,,,ABCDEFGH,x80-民爆
27.0,雅化集团,爆破服务,四川-雅安,,,,,,,,,ABCDEFGH,x80-民爆
28.0,高争民爆,爆破服务,西藏-拉萨,,,,,,,,,ABCDEFGH,x80-民爆
29.0,盛景微,控制模块,江苏-无锡,电子雷管控制模块,,,,,,,,ABCDEFGH,x80-民爆
30.0,金奥博,控制模块,深圳,,,,,,,,,ABCDEFGH,x80-民爆
31.0,航天智造,控制模块,上海,,,,,,,,,ABCDEFGH,x80-民爆
32.0,晶品特装-688,控制模块,北京,子公司航天能源涉及军用爆破器材相关业务,,,,,,,,ABCDEFGH,x80-民爆
,,控制模块,,,,,,,,,,,
