序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,抗肿瘤药分为：,肺，前列腺，肝，肾，胃，血液，直肠，膀胱，多部位,,,,,,,,,,ABCDEFGH,x82-抗肿瘤
2,新天药业,肺,贵州-贵阳,抗肿瘤1类新药用于小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
3,上海谊众,肺,上海,转移性非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
4,奥赛康,肺,北京,非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
5,艾力斯-688,肺,上海,非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
6,华东医药,肺,浙江-杭州,非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
7,键凯科技-688,肺,北京,非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
8,迪哲医药-688,肺,江苏-无锡,舒沃替尼用于肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
9,首药控股-688,肺,北京,非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
10,南京新百,前列腺,南京,核心产品Provenge 用于前列腺,,,,,,,,ABCDEFGH,x82-抗肿瘤
11,广生堂-300,肝,福建-宁德,新型C-MET 靶向药物 GST-HG161用于肝癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
12,特宝生物-688,肝,福建-厦门,派格宾长效干扰素用于肝癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
13,泽璟制药,肝,江苏-苏州,多纳非尼针用于一线晚期肝细胞癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
14,华润三九,肝,深圳,华蟾素注射液用于肝癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
15,以岭药业,肝,河北-石家庄,养正消积胶囊用于原发性肝癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
16,盟科药业-688,肾,上海,靶向新药MRX-15用于肾癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
17,振东制药-300,胃,山西-长治,安喹（kuí）利司片用于胃癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
18,诺诚健华-688,血液,北京,奥布替尼用于血液肿瘤,,,,,,,,ABCDEFGH,x82-抗肿瘤
19,千红制药,血液,江苏-常州,QHRD107胶囊用于急性髓系白血病,,,,,,,,ABCDEFGH,x82-抗肿瘤
20,海欣股份,直肠,上海,一类新药“抗原致敏的人树突状细胞”,,,,,,,,ABCDEFGH,x82-抗肿瘤
21,亚虹医药-688,膀胱,江苏-泰州,膀胱癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
22,君实生物-688,多部位,上海,多款产品用于鼻咽癌小细胞肺癌，非小细胞肺癌，三阴乳腺癌，肝细胞癌，肾细胞癌，胃癌,威程,,,,,,,ABCDEFGH,x82-抗肿瘤
23,百利天恒-688,多部位,四川-成都,多款产品用于肺癌，乳腺癌，头颈鳞癌，鼻咽癌，食管癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
24,海创药业-688,多部位,四川-成都,多款产品用于前列腺癌，食管鳞癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
25,迈威生物-688,多部位,上海,多款铲平用于尿路上皮癌，宫颈癌，食管癌，三阴性乳腺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
26,贝达药业-300,多部位,浙江-杭州,多款产品用于非小细胞肺癌，肾透明细胞癌，乳腺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
27,三生国健-688,多部位,上海,多款产品用于乳腺癌，实体瘤，转移性结直肠癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
28,荣昌生物-688,多部位,山东-烟台,维迪西妥单抗用于胃癌，尿路上皮癌，乳腺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
29,海特生物-300,多部位,湖北-武汉,,,,,,,,,ABCDEFGH,x82-抗肿瘤
30,微芯生物-688,多部位,深圳,,,,,,,,,ABCDEFGH,x82-抗肿瘤
31,汇宇制药-688,多部位,四川-内江,紫杉醇注射液用于卵巢癌，乳腺癌，非小细胞肺癌,,,,,,,,ABCDEFGH,x82-抗肿瘤
32,神州细胞-688,多部位,北京,,,,,,,,,ABCDEFGH,x82-抗肿瘤
33,奥赛康,多部位,北京,,,,,,,,,ABCDEFGH,x82-抗肿瘤
34,百奥泰-688,多部位,广东-广州,,,,,,,,,ABCDEFGH,x82-抗肿瘤
35,众生药业,多部位,广东-东莞,,,,,,,,,ABCDEFGH,x82-抗肿瘤
36,赛升药业-300,多部位,北京,,,,,,,,,ABCDEFGH,x82-抗肿瘤
37,恒瑞医药,多部位,江苏-连云港,,,,,,,,,ABCDEFGH,x82-抗肿瘤
38,天士力,多部位,天津,,,,,,,,,ABCDEFGH,x82-抗肿瘤
39,浙江医药,多部位,浙江-绍兴,,,,,,,,,ABCDEFGH,x82-抗肿瘤
40,百济神州-688,多部位,,,,,,,,,,ABCDEFGH,x82-抗肿瘤
41,罗欣药业,多部位,山东-临沂,,,,,,,,,ABCDEFGH,x82-抗肿瘤
