序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,石油分为：,原油，生物柴油，油田生产，生产设备，加工,,生物柴油以动植物油脂为原料，属于可再生酯类燃料，具有显著环保优势；而传统柴油源自不可再生的石油，属于烃类化合物，污染物排放较高。,,,,,,,,ABCDEFGH,x83-石油
2,中国石油,原油,北京,,,,,,,,,ABCDEFGH,x83-石油
3,中国海油,原油,北京,,,,,,,,,ABCDEFGH,x83-石油
4,中国石化,原油,北京,,,,,,,,,ABCDEFGH,x83-石油
5,洲际油气,原油,海南-海口,,,,,,,,,ABCDEFGH,x83-石油
6,卓越新能-688,生物柴油,福建-龙岩,,,,,,,,,ABCDEFGH,x83-石油
7,嘉澳环保,生物柴油,浙江-嘉兴,,,,,,,,,ABCDEFGH,x83-石油
8,山高环能,生物柴油,四川-南充,,,,,,,,,ABCDEFGH,x83-石油
9,海新能科-300,生物柴油,北京,,,,,,,,,ABCDEFGH,x83-石油
10,中油工程,油田服务,新疆-克拉玛依,,,,,,,,,ABCDEFGH,x83-石油
11,石化油服,油田服务,北京,,,,,,,,,ABCDEFGH,x83-石油
12,海油发展,油田服务,北京,,,,,,,,,ABCDEFGH,x83-石油
13,中海油服,油田服务,天津,,,,,,,,,ABCDEFGH,x83-石油
14,海油工程,油田服务,天津,,,,,,,,,ABCDEFGH,x83-石油
15,杰瑞股份,油田服务,山东-烟台,,,,,,,,,ABCDEFGH,x83-石油
16,准油股份,勘探,新疆-克拉玛依,,,,,,,,,ABCDEFGH,x83-石油
17,潜能恒信-300,勘探,北京,,,,,,,,,ABCDEFGH,x83-石油
18,通源石油-300,钻井,陕西-西安,,,,,,,,,ABCDEFGH,x83-石油
19,贝肯能源,钻井,新疆-克拉玛依,,,,,,,,,ABCDEFGH,x83-石油
20,中曼石油,钻井,上海,,,,,,,,,ABCDEFGH,x83-石油
21,仁智股份,钻井,浙江-温州,,,,,,,,,ABCDEFGH,x83-石油
22,惠博普,油田工程,湖南-长沙,,,,,,,,,ABCDEFGH,x83-石油
23,博迈科,油田工程,天津,,,,,,,,,ABCDEFGH,x83-石油
24,神开股份,生产设备-勘探设备,上海,,,,,,,,,ABCDEFGH,x83-石油
25,新锦动力-300,生产设备-勘探设备,北京,,,,,,,,,ABCDEFGH,x83-石油
26,山东墨龙,生产设备-钻采设备,山东-潍坊,,,,,,,,,ABCDEFGH,x83-石油
27,如通股份,生产设备-钻采设备,江苏-南通,,,,,,,,,ABCDEFGH,x83-石油
28,德石股份,生产设备-螺杆钻具,山东-德州,,,,,,,,,ABCDEFGH,x83-石油
29,石化机械,生产设备-石油钻头,湖北-武汉,,,,,,,,,ABCDEFGH,x83-石油
30,安控科技-300,生产设备-石油钻头,四川-宜宾,,,,,,,,,ABCDEFGH,x83-石油
31,迪威尔-688,其他设备,江苏-南京,油气生产系统专用件,,,,,,,,ABCDEFGH,x83-石油
32,洪田股份,其他设备,江苏-苏州,井口装置以及管线阀门,,,,,,,,ABCDEFGH,x83-石油
33,海锅股份-300,其他设备,江苏-苏州,油气装备锻件,,,,,,,,ABCDEFGH,x83-石油
34,海默科技-300,其他设备,甘肃-兰州,油气田多相计量,,,,,,,,ABCDEFGH,x83-石油
35,常宝股份,其他设备,常州,油气水分离器,,,,,,,,ABCDEFGH,x83-石油
36,博隆技术,其他设备,上海,气力输送系统,,,,,,,,ABCDEFGH,x83-石油
37,蓝科高新,其他设备,甘肃-兰州,油气水分离器,,,,,,,,ABCDEFGH,x83-石油
38,和顺石油,加工-成品油,湖南-长沙,,,,,,,,,ABCDEFGH,x83-石油
39,泰山石油,加工-成品油,泰安,,,,,,,,,ABCDEFGH,x83-石油
40,广聚能源,加工-成品油,广东-深圳,,,,,,,,,ABCDEFGH,x83-石油
41,国际实业,加工-成品油,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x83-石油
42,博汇股份-300,加工-成品油,浙江-宁波,,,,,,,,,ABCDEFGH,x83-石油
43,康普顿,加工-润滑油,山东-青岛,,,,,,,,,ABCDEFGH,x83-石油
44,中晟高科,加工-润滑油,江苏-无锡,,,,,,,,,ABCDEFGH,x83-石油
45,宝利国际-300,加工-沥青,江苏-无锡,,,,,,,,,ABCDEFGH,x83-石油
46,国创高新,加工-沥青,湖北-武汉,,,,,,,,,ABCDEFGH,x83-石油
