序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,苏超分为：,足球，旅游，饮食，赞助，传媒，谐音梗,,,,,,,,,,ABCDEFGH,x84-苏超
2,共创草坪,足球,江苏-淮安,人造草坪,,,,,,,,ABCDEFGH,x84-苏超
3,金陵体育-300,足球,江苏-苏州,球类器械,,,,,,,,ABCDEFGH,x84-苏超
4,双象股份,足球,江苏-无锡,中高端足球皮革市占率第一,,,,,,,,ABCDEFGH,x84-苏超
5,康力源-300,足球,江苏-徐州,,,,,,,,,ABCDEFGH,x84-苏超
6,亚泰集团,足球,吉林-长春,,,,,,,,,ABCDEFGH,x84-苏超
7,舒华体育,足球,福建-泉州,健身器材、跑步机、力量器械,,,,,,,,ABCDEFGH,x84-苏超
8,天目湖,旅游,江苏-常州,天目湖景区,,,,,,,,ABCDEFGH,x84-苏超
9,金陵饭店,旅游,江苏-南京,南京第一大酒店,,,,,,,,ABCDEFGH,x84-苏超
10,南京商旅,旅游,江苏-南京,旅行社,,,,,,,,ABCDEFGH,x84-苏超
11,中央商场,饮食,江苏-南京,零售,,,,,,,,ABCDEFGH,x84-苏超
12,文峰股份,饮食,江苏-南通,零售,,,,,,,,ABCDEFGH,x84-苏超
13,大东方,饮食,江苏-无锡,零售,,,,,,,,ABCDEFGH,x84-苏超
14,南京新百,饮食,江苏-南京,零售,,,,,,,,ABCDEFGH,x84-苏超
15,益客食品-300,饮食,江苏-宿迁,鸭脖，鸭锁骨，鸭翅,,,,,,,,ABCDEFGH,x84-苏超
16,佳禾食品,饮食,江苏-苏州,金毛咖啡，豪咖HOCA,,,,,,,,ABCDEFGH,x84-苏超
17,维维股份,赞助,江苏-徐州,公司冠名苏超联赛徐州赛区赛事,,,,,,,,ABCDEFGH,x84-苏超
18,今世缘,赞助,江苏-淮安,公司赞助淮安足球队,,,,,,,,ABCDEFGH,x84-苏超
19,江苏银行,赞助,江苏-南京,公司为苏超冠名赞助商,,,,,,,,ABCDEFGH,x84-苏超
20,梦百合,赞助,江苏-淮安,公司为南通支云赞助商,,,,,,,,ABCDEFGH,x84-苏超
21,粤传媒,传媒,广东-广州,体育专业类报纸《足球》《篮球先锋报》,,,,,,,,ABCDEFGH,x84-苏超
22,中超控股,谐音梗,江苏-无锡,,,,,,,,,ABCDEFGH,x84-苏超
23,苏州龙杰,谐音梗,苏州,,,,,,,,,ABCDEFGH,x84-苏超
