序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,体育分为： 彩票，器材，赛事运营，滑雪场，设置,,,,,,,,,,,ABCDEFGH,x85-体育
2,中体产业,彩票-全产业链,天津,国家体育总局唯一一家上市,,,,,,,,ABCDEFGH,x85-体育
3,松炀资源,彩票-全产业链,广东-汕头,收购金陵乐彩，,,,,,,,,ABCDEFGH,x85-体育
4,鸿博股份,彩票-印刷,福建-福州,,,,,,,,,ABCDEFGH,x85-体育
5,安妮股份,彩票-印刷,福建-厦门,,,,,,,,,ABCDEFGH,x85-体育
6,东港股份,彩票-印刷,山东-济南,,,,,,,,,ABCDEFGH,x85-体育
7,红旗连锁,彩票-分销,四川-成都,超1200家门店投放量彩票业务,,,,,,,,ABCDEFGH,x85-体育
8,英派斯,器材-健身器材,山东-青岛,,,,,,,,,ABCDEFGH,x85-体育
9,康力源-300,器材-健身器材,江苏-徐州,,,,,,,,,ABCDEFGH,x85-体育
10,舒华体育,器材-健身器材,福建-泉州,,,,,,,,,ABCDEFGH,x85-体育
11,三柏硕,器材-健身器材,山东-青岛,,,,,,,,,ABCDEFGH,x85-体育
12,共创草坪,器材-人造草坪,江苏-淮安,,,,,,,,,ABCDEFGH,x85-体育
13,伊戈尔,器材-人造草坪,广东-佛山,参股青岛青禾（人造草坪全球市占率11%）,,,,,,,,ABCDEFGH,x85-体育
14,浙江自然,户外器材,浙江-台州,,,,,,,,,ABCDEFGH,x85-体育
15,探路者-300,户外器材,北京-通州,,,,,,,,,ABCDEFGH,x85-体育
16,牧高笛,户外器材,浙江-衢州,,,,,,,,,ABCDEFGH,x85-体育
17,三夫户外,户外器材,北京-通州,,,,,,,,,ABCDEFGH,x85-体育
18,通达创智,户外器材,福建-厦门,,,,,,,,,ABCDEFGH,x85-体育
19,创源股份-300,户外器材,浙江-宁波,,,,,,,,,ABCDEFGH,x85-体育
20,金陵体育,球类器材,江苏-苏州,,,,,,,,,ABCDEFGH,x85-体育
21,春风动力,其他器材,浙江-杭州,运动摩托,,,,,,,,ABCDEFGH,x85-体育
22,信隆健康,其他器材,深圳,康复器材,,,,,,,,ABCDEFGH,x85-体育
23,香山股份,其他器材,广东-中山,电子城,,,,,,,,ABCDEFGH,x85-体育
24,星辉娱乐-300,赛事运营-足球,广东-汕头,控股西班牙人足球俱乐部,,,,,,,,ABCDEFGH,x85-体育
25,力盛体育,赛事运营-赛车,上海,中国汽车场地职业赛事,,,,,,,,ABCDEFGH,x85-体育
26,顺网科技-300,赛事运营-电竞,浙江-杭州,创立火马电竞，布局赛事,,,,,,,,ABCDEFGH,x85-体育
27,中体产业,赛事运营-其他,天津,全赛事布局,,,,,,,,ABCDEFGH,x85-体育
28,天府文旅,赛事运营-其他,四川-成都,马拉松赛事,,,,,,,,ABCDEFGH,x85-体育
29,长白山,滑雪场,吉林-延边,长白山滑雪场,,,,,,,,ABCDEFGH,x85-体育
30,天府文旅,滑雪场,成都,成都西岭滑雪场,,,,,,,,ABCDEFGH,x85-体育
31,华图山鼎-300,设施,四川-成都,体育设施工程， 体育场馆管理服务,,,,,,,,ABCDEFGH,x85-体育
32,雪人股份,设施,福建-福州,冰雪项目的建造，制冰设备,,,,,,,,ABCDEFGH,x85-体育
33,大丰实业,设施,浙江-宁波,智能舞台，,,,,,,,,ABCDEFGH,x85-体育
34,中粮科工-300,设施,江苏-无锡,设计北京冬奥会国家速滑馆，国家雪车雪橇中心,,,,,,,,ABCDEFGH,x85-体育
35,国恩股份,设施,山东-青岛,国恩体育草坪,,,,,,,,ABCDEFGH,x85-体育
36,共创草坪,设施,江苏-淮安,人造草坪第一,,,,,,,,ABCDEFGH,x85-体育
