序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,减肥药分为：原料，药品，,,,,,,,,,,,ABCDEFGH,x87-减肥药
2,翰宇药业-300,原料-多肽,广东-深圳,,,,,,,,,ABCDEFGH,x87-减肥药
3,圣诺生物-688,原料-多肽,四川-成都,,,,,,,,,ABCDEFGH,x87-减肥药
4,双鹭药业,原料-多肽,北京,,,,,,,,,ABCDEFGH,x87-减肥药
5,诺泰生物,原料-多肽,江苏-连云港,,,,,,,,,ABCDEFGH,x87-减肥药
6,安科生物-300,原料-多肽,安徽-合肥,,,,,,,,,ABCDEFGH,x87-减肥药
7,普洛药业,原料-多肽,浙江-金华,,,,,,,,,ABCDEFGH,x87-减肥药
8,皓元医药（hao)-688,原料-多肽,上海,,,,,,,,,ABCDEFGH,x87-减肥药
9,泰恩康-300,原料-多肽,广东-汕头,,,,,,,,,ABCDEFGH,x87-减肥药
10,昊帆生物-300,原料-合成试剂,江苏-苏州,,,,,,,,,ABCDEFGH,x87-减肥药
11,金城医药-300,原料-合成试剂,山东-淄博,,,,,,,,,ABCDEFGH,x87-减肥药
12,康惠制药,原料-中间体,陕西-咸阳,,,,,,,,,ABCDEFGH,x87-减肥药
13,新天地-300,原料-中间体,河南-许昌,,,,,,,,,ABCDEFGH,x87-减肥药
14,金凯生科-300,原料-中间体,辽宁-阜新,,,,,,,,,ABCDEFGH,x87-减肥药
15,蓝晓科技-300,原料-合成载体,陕西-西安,,,,,,,,,ABCDEFGH,x87-减肥药
16,键凯科技-688,原料-聚乙二醇,北京,,,,,,,,,ABCDEFGH,x87-减肥药
17,华东医药,药品-GLP-1RA,浙江-杭州,,,,,,,,,ABCDEFGH,x87-减肥药
18,常山药业-300,药品-GLP-1RA,河北-石家庄,,,,,,,,,ABCDEFGH,x87-减肥药
19,双鹭药业,药品-GLP-1RA,北京,,,,,,,,,ABCDEFGH,x87-减肥药
20,恒瑞医药,药品-GLP-1RA,江苏-连云港,,,,,,,,,ABCDEFGH,x87-减肥药
21,博瑞医药,药品-GLP-1RA,江苏-苏州,,,,,,,,,ABCDEFGH,x87-减肥药
22,众生药业,药品-GLP-1RA,广东-东莞,,,,,,,,,ABCDEFGH,x87-减肥药
23,乐普医疗-300,药品-GLP-1RA,北京,,,,,,,,,ABCDEFGH,x87-减肥药
24,甘李药业,药品-GLP-1RA,北京,,,,,,,,,ABCDEFGH,x87-减肥药
25,信立泰,药品-GLP-1RA,广东-深圳,,,,,,,,,ABCDEFGH,x87-减肥药
26,德展健康,药品-GLP-1RA,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x87-减肥药
27,百花医药,药品-GLP-1RA,新疆,,,,,,,,,ABCDEFGH,x87-减肥药
28,华森制药,药品-奥利司他,重庆,,,,,,,,,ABCDEFGH,x87-减肥药
29,通化东宝,药品-注射降糖,吉林-通化,,,,,,,,,ABCDEFGH,x87-减肥药
30,甘李药业,药品-注射降糖,北京,,,,,,,,,ABCDEFGH,x87-减肥药
31,千金药业,药品-口服降糖,湖南-株洲,,,,,,,,,ABCDEFGH,x87-减肥药
32,海正药业,药品-口服降糖,浙江-台州,,,,,,,,,ABCDEFGH,x87-减肥药
33,乐普医疗-300,药品-口服降糖,北京,,,,,,,,,ABCDEFGH,x87-减肥药
34,九州通,药品-口服降糖,湖北-武汉,,,,,,,,,ABCDEFGH,x87-减肥药
35,博雅生物-300,药品-口服降糖,江西-抚州,,,,,,,,,ABCDEFGH,x87-减肥药
36,科源制药-300,药品-口服降糖,山东-济南,,,,,,,,,ABCDEFGH,x87-减肥药
37,福瑞股份,药品-检测,内蒙古-乌兰察布,,,,,,,,,ABCDEFGH,x87-减肥药
