序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,两轮车分为： 电动，燃油，脚踏，配件，北斗导航,,,,,,,,,,,ABCDEFGH,x88-两轮车
2,爱玛科技,电动,天津,,,,,,,,,ABCDEFGH,x88-两轮车
3,新日股份,电动,江苏-无锡,,,,,,,,,ABCDEFGH,x88-两轮车
4,九号公司-688,电动,北京,电动滑板车应收第一,,,,,,,,ABCDEFGH,x88-两轮车
5,涛涛车业-300,电动,浙江-丽水,电动滑板车，平衡车，自行车,,,,,,,,ABCDEFGH,x88-两轮车
6,隆鑫通用,燃油,重庆,燃油摩托第1，,,,,,,,,ABCDEFGH,x88-两轮车
7,钱江摩托,燃油,浙江-台州,燃油摩托第2，,,,,,,,,ABCDEFGH,x88-两轮车
8,宗申动力,燃油,重庆,燃油摩托第3，,,,,,,,,ABCDEFGH,x88-两轮车
9,春风动力,燃油,浙江-杭州,燃油摩托第4，,,,,,,,,ABCDEFGH,x88-两轮车
10,千里科技,燃油,重庆,燃油摩托第5，,,,,,,,,ABCDEFGH,x88-两轮车
11,永安行,脚踏车,江苏-常州,,,,,,,,,ABCDEFGH,x88-两轮车
12,上海凤凰,脚踏车,上海,,,,,,,,,ABCDEFGH,x88-两轮车
13,中路股份,脚踏车,上海,,,,,,,,,ABCDEFGH,x88-两轮车
14,深中华A,脚踏车,深圳,,,,,,,,,ABCDEFGH,x88-两轮车
15,信隆健康,脚踏车,深圳,自行陈配件企业 全球最大,,,,,,,,ABCDEFGH,x88-两轮车
16,久祺股份,脚踏车,浙江杭州,自行车整车及零部件,,,,,,,,ABCDEFGH,x88-两轮车
17,安乃达,配件,上海,产品为： 电动两轮车电驱系统,,,,,,,,ABCDEFGH,x88-两轮车
18,八方股份,配件,江苏-苏州,电踏车电机,,,,,,,,ABCDEFGH,x88-两轮车
19,中海达-300,两轮车-北斗导航,广东-广州,高精度GNSS市占率国内第1，,,,,,,,,ABCDEFGH,x88-两轮车
20,华测导航-300,两轮车-北斗导航,上海,高精度GNSS市占率国内第2，,,,,,,,,ABCDEFGH,x88-两轮车
21,合众思壮,两轮车-北斗导航,北京,高精度GNSS市占率国内第3，,,,,,,,,ABCDEFGH,x88-两轮车
22,司南导航-688,两轮车-北斗导航,上海,,,,,,,,,ABCDEFGH,x88-两轮车
23,盟升电子-688,两轮车-北斗导航,四川-成都,卫星导航,,,,,,,,ABCDEFGH,x88-两轮车
24,龙洲股份,两轮车-北斗导航,福建-龙岩,卫星定位监控,,,,,,,,ABCDEFGH,x88-两轮车
25,启明信息,两轮车-北斗导航,吉林-长春,拥有 “兼容型北斗导航车载终端”项目,,,,,,,,ABCDEFGH,x88-两轮车
26,日海智能,两轮车-北斗导航,深圳,北斗定位无线通信模组,,,,,,,,ABCDEFGH,x88-两轮车
27,烽火电子-无线通信,两轮车-北斗导航,陕西-宝鸡,公司具备研制生产北斗终端及模块产品能力,,,,,,,,ABCDEFGH,x88-两轮车
