序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,轮胎分为： 车用，航空，炭黑，橡胶助剂，液体黄金,,,,,,,,,,,ABCDEFGH,x89-轮胎
2,中策橡胶,车用,浙江杭州,,,,,,,,,ABCDEFGH,x89-轮胎
3,赛轮轮胎,车用,山东-青岛,,,,,,,,,ABCDEFGH,x89-轮胎
4,玲珑轮胎,车用,山东-烟台,,,,,,,,,ABCDEFGH,x89-轮胎
5,贵州轮胎,车用,贵州-贵阳,,,,,,,,,ABCDEFGH,x89-轮胎
6,三角轮胎,车用,山东-威海,,,,,,,,,ABCDEFGH,x89-轮胎
7,森麒麟,车用,山东-青岛,,,,,,,,,ABCDEFGH,x89-轮胎
8,通用股份,车用,江苏-无锡,,,,,,,,,ABCDEFGH,x89-轮胎
9,风神股份,车用,河南-焦作,,,,,,,,,ABCDEFGH,x89-轮胎
10,青岛双星,车用,山东-青岛,,,,,,,,,ABCDEFGH,x89-轮胎
11,迪生力,车用,广东-江门,,,,,,,,,ABCDEFGH,x89-轮胎
12,森麒麟,航空,青岛,小批量供货，进入C909，C919培育供应商名单, ,,,,,,,ABCDEFGH,x89-轮胎
13,黑猫股份,炭黑,江西-景德镇,,炭黑在轮胎中扮演着非常重要的角色。它不仅增加了轮胎的强度，还提高了其耐磨性。没有炭黑，轮胎可能跑不了8000公里就得报废，想想都心疼钱包。而加了炭黑后，轮胎的使用寿命可以增加10倍！,,,,,,,ABCDEFGH,x89-轮胎
14,龙星科技,炭黑,河北-邢台,,,,,,,,,ABCDEFGH,x89-轮胎
15,永东股份,炭黑,山西-运城,,,,,,,,,ABCDEFGH,x89-轮胎
16,阳谷华泰-300,橡胶助剂,山东-聊城,,,,,,,,,ABCDEFGH,x89-轮胎
17,彤程新材,橡胶助剂,上海,,,,,,,,,ABCDEFGH,x89-轮胎
18,软控股份,液体黄金轮胎,山东-青岛,已向赛轮轮胎批量提供液体黄金材料,液体黄金轮胎是赛轮集团经过多年潜心研究和技术攻关，采用高性能橡胶新材料研制的新一代轮胎产品，液体黄金轮胎不仅降低了轮胎的滚动阻力，还提升了抗湿滑和耐磨性能，使行车更加安全、节能、舒适，增加了轮胎的使用寿命,,,,,,,ABCDEFGH,x89-轮胎
