序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,有色金属分为： ,黄金，白银， 铜铁铝锰锌铅镍，铂钨锶镁钒锆，-------  锗，镓，钼，锡，锑，铟，铋，钴,,,,,,,,,,ABCDEFGH,x9-有色金属
2,紫金矿业,黄金,福建-龙岩,黄金资源A股第一， 1148吨,,,,,,,,ABCDEFGH,x9-有色金属
3,山东黄金,黄金,山东-济南,黄金资源量A股第二，545吨,,,,,,,,ABCDEFGH,x9-有色金属
4,中金黄金,黄金,北京-东城,第三,,,,,,,,ABCDEFGH,x9-有色金属
5,赤峰黄金,黄金,内蒙-赤峰,第四,,,,,,,,ABCDEFGH,x9-有色金属
6,鹏欣资源,黄金,上海-普陀区,第五,,,,,,,,ABCDEFGH,x9-有色金属
7,恒邦股份,黄金,山东-烟台,第六,,,,,,,,ABCDEFGH,x9-有色金属
8,山金国际,黄金,内蒙-锡林郭勒,第七,,,,,,,,ABCDEFGH,x9-有色金属
9,湖南黄金,黄金,湖南-长沙,第8,,,,,,,,ABCDEFGH,x9-有色金属
10,玉龙股份,黄金,山东-济南,第9,,,,,,,,ABCDEFGH,x9-有色金属
11,晓程科技-300,黄金,北京-海淀,第十,,,,,,,,ABCDEFGH,x9-有色金属
12,西部黄金,黄金,新疆-乌鲁木齐,第十一,,,,,,,,ABCDEFGH,x9-有色金属
13,四川黄金,黄金,四川-凉山,第十二,,,,,,,,ABCDEFGH,x9-有色金属
14,盛达资源,黄金,北京-大兴,第十四,,,,,,,,ABCDEFGH,x9-有色金属
15,白银有色,黄金,甘肃-白银,第十五,,,,,,,,ABCDEFGH,x9-有色金属
16,豫光金铅,白银,河南-济源,白银销量A股第一，1384吨,,,,,,,,ABCDEFGH,x9-有色金属
17,江西铜业,白银,江西-鹰潭,第二,,,,,,,,ABCDEFGH,x9-有色金属
18,云南铜业,白银,云南-昆明,第三,,,,,,,,ABCDEFGH,x9-有色金属
19,恒邦股份,白银,山东-烟台,第四,,,,,,,,ABCDEFGH,x9-有色金属
20,紫金矿业,白银,福建-龙岩,第5,,,,,,,,ABCDEFGH,x9-有色金属
21,湖南白银,白银,湖南-郴州,第六,,,,,,,,ABCDEFGH,x9-有色金属
