序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,波音替代主要分为：空客 + C919大飞机,,,,,,,,,,,ABCDEFGH,x90-波音替代
2,洪都航空, C919大飞机-机体制造,江西-南昌,负责部件：前机身，中后机身及相应舱门,,,,,,,,ABCDEFGH,x90-波音替代
3,中航沈飞, C920大飞机-机体制造,山东-威海,负责部件：后机身、吊挂、APU舱门等。,,,,,,,,ABCDEFGH,x90-波音替代
4,中直股份, C921大飞机-机体制造,黑龙江-哈尔滨,负责部件：翼身整流罩，前、主起舱门,,,,,,,,ABCDEFGH,x90-波音替代
5,中航西飞, C922大飞机-机体制造,陕西-西安,负责部件：中央翼，外翼翼盒，襟翼，副翼，缝翼等,,,,,,,,ABCDEFGH,x90-波音替代
6,中航机载, C923大飞机-机载系统,北京,航电系统提供商，国产替代,,,,,,,,ABCDEFGH,x90-波音替代
7,四川九洲, C924大飞机-机载系统,四川-绵阳,空管通信系统，监视系统,,,,,,,,ABCDEFGH,x90-波音替代
8,国睿科技, C925大飞机-机载系统,江苏-南京,参与信息化项目建设,,,,,,,,ABCDEFGH,x90-波音替代
9,航发动力, C926大飞机-动力系统,陕西-西安,航空发动机，军机发动机,,,,,,,,ABCDEFGH,x90-波音替代
10,航发科技, C927大飞机-动力系统,四川-成都,航空发动机，压气机叶片,,,,,,,,ABCDEFGH,x90-波音替代
11,应流股份, C928大飞机-动力系统,安徽-合肥,为国产商用大飞机发动机交付机匣，叶片等。,,,,,,,,ABCDEFGH,x90-波音替代
12,三角防务-300, C929大飞机-零部件,陕西-西安,大飞机零部件装配业务,,,,,,,,ABCDEFGH,x90-波音替代
13,中航重机, C929大飞机-零部件,贵州-贵阳,航空锻造,,,,,,,,ABCDEFGH,x90-波音替代
14,北摩高科, C929大飞机-零部件,北京,飞机刹车制动,,,,,,,,ABCDEFGH,x90-波音替代
15,中航光电, C929大飞机-零部件,河南-洛阳,电连接器,,,,,,,,ABCDEFGH,x90-波音替代
16,爱乐达, C929大飞机-零部件,四川-成都,C919机头部位航空零件供应商,,,,,,,,ABCDEFGH,x90-波音替代
17,通达股份, C929大飞机-零部件,河南-洛阳,子公司成都航飞产品覆盖C919,,,,,,,,ABCDEFGH,x90-波音替代
18,楚江新材, C929大飞机-零部件,安徽-芜湖,C919碳刹车盘预制件唯一供应商,T,,,,,,,ABCDEFGH,x90-波音替代
19,飞沃科技-300, C929大飞机-零部件,湖南-常德,起落架，发动机中的紧固件制造,,,,,,,,ABCDEFGH,x90-波音替代
20,龙溪股份, C929大飞机-零部件,福建-漳州,轴承,,,,,,,,ABCDEFGH,x90-波音替代
21,新大洲A, C929大飞机-零部件,海南-海口,发动机零部件,,,,,,,,ABCDEFGH,x90-波音替代
22,利君股份, C929大飞机-零部件,四川-成都,C919零部件外包加工业务,,,,,,,,ABCDEFGH,x90-波音替代
23,中航高科, C929大飞机-新材料,江苏-南通,,,,,,,,,ABCDEFGH,x90-波音替代
24,润贝航科, C929大飞机-新材料,深圳,,,,,,,,,ABCDEFGH,x90-波音替代
25,广联航空-300, C929大飞机-新材料,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x90-波音替代
26,博云新材, C929大飞机-新材料,湖南-长沙,,,,,,,,,ABCDEFGH,x90-波音替代
27,宝钛股份, C929大飞机-新材料,陕西-宝鸡,,,,,,,,,ABCDEFGH,x90-波音替代
28,西部超导-688, C929大飞机-新材料,陕西-西安,,,,,,,,,ABCDEFGH,x90-波音替代
29,宝钢股份, C929大飞机-新材料,上海,,,,,,,,,ABCDEFGH,x90-波音替代
30,四川长虹, C929大飞机-蓄电池组,四川-绵阳,蓄电池,,,,,,,,ABCDEFGH,x90-波音替代
31,能科科技, C929大飞机-试飞平台,北京,为国产C919提供试飞管理平台,,,,,,,,ABCDEFGH,x90-波音替代
32,中航西飞,空客,陕西-西安,A320系列飞机机翼制造全流程，,"
空中客车公司（Airbus S.A.S．），1970年由法国、德国、西班牙与英国共同创立，总部位于法国图卢兹，是欧洲军火供应商空中客车集团旗下企业",,,,,,,ABCDEFGH,x90-波音替代
33,天保基建,空客,天津,参股中天航空，空客天津总装,,,,,,,,ABCDEFGH,x90-波音替代
34,爱乐达,空客,四川-成都,公司通过发过赛峰集团转包生产空客A320 精密零部件,,,,,,,,ABCDEFGH,x90-波音替代
35,南山铝业,空客,山东-烟台,公司为空客供应高端铝合金板材。,,,,,,,,ABCDEFGH,x90-波音替代
36,赛象科技,空客,天津,公司为空客天津总装线提供A320大部件运输工装夹具,,,,,,,,ABCDEFGH,x90-波音替代
37,博云新材,空客,湖南-长沙,公司产品供应用于空客A320 起落架系统,,,,,,,,ABCDEFGH,x90-波音替代
