序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,酒可以分为：白酒，啤酒，黄酒，鸡尾酒，葡萄酒，销售,,,,,,,,,,,ABCDEFGH,x91-酒
2,贵州茅台,白酒-高端,贵州-遵义,酱香型白酒,,,,,,,,ABCDEFGH,x91-酒
3,五粮液,白酒-高端,四川-宜宾,浓香型白酒,,,,,,,,ABCDEFGH,x91-酒
4,泸州老窖,白酒-高端,四川-泸州,浓香型白酒,,,,,,,,ABCDEFGH,x91-酒
5,山西汾酒,白酒-次高端,陕西-吕梁,清香型白酒,,,,,,,,ABCDEFGH,x91-酒
6,舍得酒业,白酒-次高端,四川-遂宁,浓香型白酒,,,,,,,,ABCDEFGH,x91-酒
7,水井坊,白酒-次高端,四川-成都,浓香型白酒,,,,,,,,ABCDEFGH,x91-酒
8,酒鬼酒,白酒-次高端,湖南-湘西土家族苗族,,,,,,,,,ABCDEFGH,x91-酒
9,五粮液,四川,四川-宜宾,,,,,,,,,ABCDEFGH,x91-酒
10,泸州老窖,四川,四川-泸州,,,,,,,,,ABCDEFGH,x91-酒
11,舍得酒业,四川,四川-遂宁,,,,,,,,,ABCDEFGH,x91-酒
12,水井坊,四川,四川-成都,,,,,,,,,ABCDEFGH,x91-酒
13,豫园股份,四川,上海,公司持有四川沱牌舍得集团股权,,,,,,,,ABCDEFGH,x91-酒
14,古井贡酒,安徽,安徽-亳州,,,,,,,,,ABCDEFGH,x91-酒
15,口子窖,安徽,安徽-淮北,,,,,,,,,ABCDEFGH,x91-酒
16,迎驾贡酒,安徽,安徽-六安,,,,,,,,,ABCDEFGH,x91-酒
17,金种子酒,安徽,安徽-阜阳,,,,,,,,,ABCDEFGH,x91-酒
18,洋河股份,江苏,江苏-宿迁,,,,,,,,,ABCDEFGH,x91-酒
19,今世缘,江苏,江苏-淮安,,,,,,,,,ABCDEFGH,x91-酒
20,金徽酒,甘肃,甘肃-陇南,,,,,,,,,ABCDEFGH,x91-酒
21,皇台酒业,甘肃,甘肃-武威市,,,,,,,,,ABCDEFGH,x91-酒
22,伊力特,新疆,新疆,,,,,,,,,ABCDEFGH,x91-酒
23,老白干酒,河北,黑背-衡水,,,,,,,,,ABCDEFGH,x91-酒
24,顺鑫农业,北京,北京-顺义,光瓶酒市占率第一，牛栏山二锅头,,,,,,,,ABCDEFGH,x91-酒
25,山西汾酒,山西,陕西-吕梁,,,,,,,,,ABCDEFGH,x91-酒
26,大湖股份,湖南,湖南-常德,,,,,,,,,ABCDEFGH,x91-酒
27,青岛啤酒,啤酒-产品,山东-青岛,,,,,,,,,ABCDEFGH,x91-酒
28,重庆啤酒,啤酒-产品,重庆-渝北,收购乌苏啤酒,,,,,,,,ABCDEFGH,x91-酒
29,燕京啤酒,啤酒-产品,北京-顺义,,,,,,,,,ABCDEFGH,x91-酒
30,珠江啤酒,啤酒-产品,广州,,,,,,,,,ABCDEFGH,x91-酒
31,惠泉啤酒,啤酒-产品,福建-泉州,,,,,,,,,ABCDEFGH,x91-酒
32,中国海诚,啤酒-产品,上海,精酿啤酒品牌“轻骑士”,,,,,,,,ABCDEFGH,x91-酒
33,嘉美包装,啤酒-产品,安徽-滁州,精酿啤酒品牌“喝吧”,,,,,,,,ABCDEFGH,x91-酒
34,品渥食品,啤酒-产品,上海,精酿啤酒品牌“硬骨头”,,,,,,,,ABCDEFGH,x91-酒
35,永顺泰,啤酒-原料,广州,麦芽产能第一,,,,,,,,ABCDEFGH,x91-酒
36,亚盛集团,啤酒-原料,甘肃-兰州,啤酒花产量第一,啤酒花是大麻科葎草属的多年生攀援草本植物,,,,,,,ABCDEFGH,x91-酒
37,乐惠国际,啤酒-设备,浙江-宁波,啤酒设备第一， 供货百威，喜力,,,,,,,,ABCDEFGH,x91-酒
38,古越龙山,黄酒,浙江-绍兴,,,,,,,,,ABCDEFGH,x91-酒
39,会稽山,黄酒,浙江-绍兴,,,,,,,,,ABCDEFGH,x91-酒
40,金枫酒业,黄酒,上海,,,,,,,,,ABCDEFGH,x91-酒
41,百润股份,鸡尾酒,上海,预调鸡尾酒市占率第一,,,,,,,,ABCDEFGH,x91-酒
42,张裕A,葡萄酒,烟台,,,,,,,,,ABCDEFGH,x91-酒
43,威龙股份,葡萄酒,山东-烟台,,,,,,,,,ABCDEFGH,x91-酒
44,中信尼雅,葡萄酒,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x91-酒
45,莫高股份,葡萄酒,甘肃-兰州,,,,,,,,,ABCDEFGH,x91-酒
46,华致酒行,销售,云南-迪庆藏族自治州,线下渠道，酒类销售第一,,,,,,,,ABCDEFGH,x91-酒
47,新华都,销售,福建-厦门,线上渠道，为白酒品牌提供电商服务,,,,,,,,ABCDEFGH,x91-酒
