序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,伊以冲突-2025年6月15日 分为 核污染，金属，航运，石油，军品,,,,,,,,,,,ABCDEFGH,x93-伊以冲突
2,捷强装备-300,核污染-辐射监测,天津,核辐射检测设备,,,,,,,,ABCDEFGH,x93-伊以冲突
3,辰安科技-300,核污染-辐射监测,北京,水体放射性核素在线检测仪,,,,,,,,ABCDEFGH,x93-伊以冲突
4,谱尼测试-300,核污染-辐射监测,北京,核辐射检测业务,,,,,,,,ABCDEFGH,x93-伊以冲突
5,华盛昌,核污染-辐射监测,深圳,拥有核辐射检测仪,,,,,,,,ABCDEFGH,x93-伊以冲突
6,汉威科技-300,核污染-辐射监测,河南-郑州,辐射环境自动检测系统,,,,,,,,ABCDEFGH,x93-伊以冲突
7,华测检测-300,核污染-辐射监测,广东-深圳,放射性物质检测服务,,,,,,,,ABCDEFGH,x93-伊以冲突
8,中金辐照-300,核污染-辐射监测,广东-深圳,辐照灭菌服务,,,,,,,,ABCDEFGH,x93-伊以冲突
9,中核科技,核污染-辐射监测,江苏-苏州,,,,,,,,,ABCDEFGH,x93-伊以冲突
10,力生制药,核污染-污染防护,天津,碘化钾片产能第一,,,,,,,,ABCDEFGH,x93-伊以冲突
11,北化股份,核污染-污染防护,四川-泸州,防毒面具，防护服,,,,,,,,ABCDEFGH,x93-伊以冲突
12,际华集团,核污染-污染防护,北京,核污染防护服，鞋,,,,,,,,ABCDEFGH,x93-伊以冲突
13,新莱福-300,核污染-污染防护,广东-广州,核防护柔性屏蔽,,,,,,,,ABCDEFGH,x93-伊以冲突
14,应流股份,核污染-污染防护,安徽-合肥,防护产品为核防护柔性屏蔽材料,,,,,,,,ABCDEFGH,x93-伊以冲突
15,华强科技-688,核污染-污染防护,湖北-宜昌,防毒服，防毒面具,,,,,,,,ABCDEFGH,x93-伊以冲突
16,紫金矿业,伊以冲突-黄金,福建-龙岩,,,,,,,,,ABCDEFGH,x93-伊以冲突
17,山东黄金,伊以冲突-黄金,济南,,,,,,,,,ABCDEFGH,x93-伊以冲突
18,中金黄金,伊以冲突-黄金,北京,,,,,,,,,ABCDEFGH,x93-伊以冲突
19,赤峰黄金,伊以冲突-黄金,内蒙-赤峰,,,,,,,,,ABCDEFGH,x93-伊以冲突
