序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,PEEK轻量化材料分为：制品，氟酮，对苯二酚，碳酸钠,,,据媒体报道，在人形机器人和新能源车应用需求强烈的背景下，因PEEK材料具有轻量化与物理性能方面的优势，PEEK材料市场有望迎来快速增长。与通用金属对比，PEEK材料在满足所需强度的同时，可明显降低材料的自重，实现轻量化。,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
2,中研股份-688,制品,吉林长春,PEEK产能第一,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
3,沃特股份,制品,深圳,PEEK产线正在建设中,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
4,凯盛新材-300,制品,山东-淄博,PEKK产能为1000顿/年，可替代PEEK,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
5,双一科技-300,制品,山东-德州,3D打印PEEK-CF复合材料,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
6,康拓医疗-688,制品,陕西-西安,第一家取得PEEK颅骨修补产品注册证国家厂家,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
7,万润股份,制品,山东-烟台,公司已开发出PEEK实验室样品,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
8,肯特股份-300,制品,江苏-南京,公司开发出PEEK减磨系列 高温耐压系列产品,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
9,中欣氟材,氟酮,浙江-绍兴,氟酮产能第1,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
10,新瀚新材-300,氟酮,江苏-南京,氟酮产能第2,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
11,大洋生物,氟酮,浙江-杭州,上市时规划部分募集资金用于氟酮项目,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
12,浙江龙盛,对苯二酚,浙江-绍兴,对苯二酚市占率第一,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
13,兄弟科技,对苯二酚,浙江-嘉兴,,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
14,中盐化工,碳酸钠,内蒙股-阿拉善,碳酸钠（纯碱）产量市占率第1，,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
15,三友化工,碳酸钠,河北-唐山,碳酸钠（纯碱）产量市占率第2，,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
16,山东海化-潍坊,碳酸钠,山东-潍坊,碳酸钠（纯碱）产量市占率第3，,,,,,,,,ABCDEFGH,x94-PEEK轻量化材料
