序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,电机分为：,工业电机，汽车电机，低空经济电机，人形机器人电机，家用电机，电机零部件,,,,,,,,,,ABCDEFGH,x95-电机
2,汇川技术-300,工业电机,深圳,,,,,,,,,ABCDEFGH,x95-电机
3,卧龙电驱,工业电机,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
4,湘电股份,工业电机,湖南-湘潭,,,,,,,,,ABCDEFGH,x95-电机
5,佳电股份,工业电机,黑龙江-佳木斯,,,,,,,,,ABCDEFGH,x95-电机
6,江苏雷利-300,工业电机,江苏-常州,,,,,,,,,ABCDEFGH,x95-电机
7,江特电机,工业电机,江西-宜春,,,,,,,,,ABCDEFGH,x95-电机
8,科力尔,工业电机,湖南-永州,,,,,,,,,ABCDEFGH,x95-电机
9,迪贝电气,工业电机,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
10,中电电机,工业电机,江苏-无锡,,,,,,,,,ABCDEFGH,x95-电机
11,微光股份,工业电机,浙江-杭州,,,,,,,,,ABCDEFGH,x95-电机
12,申科股份,工业电机,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
13,比亚迪,汽车电机,深圳,,,,,,,,,ABCDEFGH,x95-电机
14,方正电机,汽车电机,浙江-丽水,,,,,,,,,ABCDEFGH,x95-电机
15,大洋电机,汽车电机,广东-中山,,,,,,,,,ABCDEFGH,x95-电机
16,精进电动-688,汽车电机,北京,,,,,,,,,ABCDEFGH,x95-电机
17,巨一科技-688,汽车电机,安徽-合肥,,,,,,,,,ABCDEFGH,x95-电机
18,科力尔,汽车电机,湖南-永州,,,,,,,,,ABCDEFGH,x95-电机
19,江南奕帆-300,汽车电机,江苏-无锡,,,,,,,,,ABCDEFGH,x95-电机
20,卧龙电驱,低空经济电机,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
21,英博尔,低空经济电机,广东-珠海,,,,,,,,,ABCDEFGH,x95-电机
22,宗申动力,低空经济电机,重庆,,,,,,,,,ABCDEFGH,x95-电机
23,震裕科技-300,低空经济电机,浙江-宁波,,,,,,,,,ABCDEFGH,x95-电机
24,鸣志电器,人形机器人-步进电机,上海,,,,,,,,,ABCDEFGH,x95-电机
25,鸣志电器,人形机器人-空心杯电机,上海,,,,,,,,,ABCDEFGH,x95-电机
26,伟创电气-688,人形机器人-空心杯电机,江苏-苏州,,,,,,,,,ABCDEFGH,x95-电机
27,江苏雷利-300,人形机器人-空心杯电机,江苏-常州,,,,,,,,,ABCDEFGH,x95-电机
28,步科股份-688,人形机器人-无框电机,上海,,,,,,,,,ABCDEFGH,x95-电机
29,昊志机电-300,人形机器人-无框电机,广州,,,,,,,,,ABCDEFGH,x95-电机
30,卧龙电驱,人形机器人-无框电机,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
31,信质集团,人形机器人-无框电机,浙江-台州,,,,,,,,,ABCDEFGH,x95-电机
32,维科科技,人形机器人-无框电机,江西-南昌,,,,,,,,,ABCDEFGH,x95-电机
33,汇川技术-300,人形机器人-伺服电机,深圳,,,,,,,,,ABCDEFGH,x95-电机
34,禾川科技-688,人形机器人-伺服电机,浙江- 衢州,,,,,,,,,ABCDEFGH,x95-电机
35,信捷电气,人形机器人-伺服电机,江苏-无锡,,,,,,,,,ABCDEFGH,x95-电机
36,埃斯顿,人形机器人-伺服电机,江苏-南京,,,,,,,,,ABCDEFGH,x95-电机
37,雷赛智能,人形机器人-伺服电机,深圳,,,,,,,,,ABCDEFGH,x95-电机
38,科力尔,人形机器人-伺服电机,湖南-永州,,,,,,,,,ABCDEFGH,x95-电机
39,昊志机电-300,人形机器人-伺服电机,广州,,,,,,,,,ABCDEFGH,x95-电机
40,众辰科技,人形机器人-伺服电机,上海,,,,,,,,,ABCDEFGH,x95-电机
41,通达动力,人形机器人-伺服电机,江苏-南通,,,,,,,,,ABCDEFGH,x95-电机
42,劲拓股份,人形机器人-伺服电机,上海,,,,,,,,,ABCDEFGH,x95-电机
43,卧龙电驱,人形机器人-卧龙电驱,浙江-绍兴,,,,,,,,,ABCDEFGH,x95-电机
44,江苏雷利-300,人形机器人-卧龙电驱,常州,,,,,,,,,ABCDEFGH,x95-电机
45,康平科技-300,人形机器人-卧龙电驱,苏州,,,,,,,,,ABCDEFGH,x95-电机
46,震裕科技-300,人形机器人-卧龙电驱,浙江-宁波,,,,,,,,,ABCDEFGH,x95-电机
47,信质集团,电机零部件-定转子,浙江-台州,,,,,,,,,ABCDEFGH,x95-电机
48,神力股份,电机零部件-定转子,,,,,,,,,,ABCDEFGH,x95-电机
49,通达动力,电机零部件-定转子,江苏-南通,,,,,,,,,ABCDEFGH,x95-电机
50,震裕科技-300,电机零部件-定转子,浙江-宁波,,,,,,,,,ABCDEFGH,x95-电机
51,隆盛科技-300,电机零部件-定转子,江苏-无锡,,,,,,,,,ABCDEFGH,x95-电机
52,金帝股份,电机零部件-定转子,山东-聊城,公司自主开发了3个异步电机定转子平台,,,,,,,,ABCDEFGH,x95-电机
