序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x96-3D打印分为：材料，部件，设备，其他,,,,,,,,,,,ABCDEFGH,x96-3D打印
2,兴业股份,材料,江苏-苏州,铸造用粘结剂为主,光刻胶溶剂,3D打印材料,,,,,,ABCDEFGH,x96-3D打印
3,长江材料,材料,重庆,通过3D打印铸造砂型并用于铸件生产,,,,,,,,ABCDEFGH,x96-3D打印
4,海正生材-688,材料,浙江-台州,,,,,,,,,ABCDEFGH,x96-3D打印
5,有研粉材,材料,北京,,,,,,,,,ABCDEFGH,x96-3D打印
6,金橙子-688,部件,北京,振镜控制系统,,,,,,,,ABCDEFGH,x96-3D打印
7,联赢激光-688,部件,深圳,激光器,,,,,,,,ABCDEFGH,x96-3D打印
8,锐科激光-300,部件,湖北-武汉,激光器,,,,,,,,ABCDEFGH,x96-3D打印
9,华曙高科-688,3D-打印-设备,湖南-长沙,打印设备市占率第一,,,,,,,,ABCDEFGH,x96-3D打印
10,铂力特-688,3D-打印-设备,陕西-西安,,,,,,,,,ABCDEFGH,x96-3D打印
11,爱思凯-300,3D-打印-设备,广东-广州,,,,,,,,,ABCDEFGH,x96-3D打印
12,思看科技-688,3D-打印-设备,浙江-杭州,,,,,,,,,ABCDEFGH,x96-3D打印
13,大族激光,3D-打印-设备,深圳,,,,,,,,,ABCDEFGH,x96-3D打印
14,东方精工,3D-打印-设备,广东-佛山,,,,,,,,,ABCDEFGH,x96-3D打印
15,鸿日达-300,3D-打印-设备,江苏-苏州,,,,,,,,,ABCDEFGH,x96-3D打印
16,众源新材,3D-打印-设备,安徽-芜湖,,,,,,,,,ABCDEFGH,x96-3D打印
17,高乐股份,3D打印-其他,广东-揭阳,公司具有3D打印定制化服务,,,,,,,,ABCDEFGH,x96-3D打印
