序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,脑机接口分为：,上游电极/芯片，中游脑电处理， 下游应用， 领先企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
2,创新医疗,上游电极/芯片-植入式,浙江-绍兴,关联度第一，主导侵入式脑机接口,,,,,,,,ABCDEFGH,x97-脑机接口
3,高德红外,上游电极/芯片-植入式,湖北-武汉,脑机接口芯片,,,,,,,,ABCDEFGH,x97-脑机接口
4,汉威科技-300,上游电极/芯片-非植入式,河南-郑州,柔性触觉传感器,,,,,,,,ABCDEFGH,x97-脑机接口
5,佳禾智能-300,中游脑电处理-脑电记录分析设备,广东-东莞,脑电波采集通信系统,,,,,,,,ABCDEFGH,x97-脑机接口
6,翔宇医疗-688,中游脑电处理-脑电记录分析设备,河南-安阳,自研多模态脑电采集设备,,,,,,,,ABCDEFGH,x97-脑机接口
7,南京熊猫,中游脑电处理-脑电数据压缩与处理,江苏-南京,脑电信号，语音，手势等多维度交互技术,爱立信重要的全球供应中心,轨交AFC系统集成国内第一梯队,,,,,,ABCDEFGH,x97-脑机接口
8,科大讯飞,中游脑电处理-脑电数据压缩与处理,安徽-合肥,脑电信号解码算法情绪识别准确率92%,,,,,,,,ABCDEFGH,x97-脑机接口
9,三博脑科-300,下游应用-癫痫诊疗,北京,,,,,,,,,ABCDEFGH,x97-脑机接口
10,爱朋医疗-300,下游应用-癫痫诊疗,江苏-南通,,,,,,,,,ABCDEFGH,x97-脑机接口
11,爱朋医疗-300,下游应用-脑起搏器,江苏-南通,,,,,,,,,ABCDEFGH,x97-脑机接口
12,爱朋医疗-300,下游应用-麻醉检测,江苏-南通,,,,,,,,,ABCDEFGH,x97-脑机接口
13,戴维医疗-300,下游应用-麻醉检测,浙江-宁波,,,,,,,,,ABCDEFGH,x97-脑机接口
14,狄耐克-300,下游应用-麻醉检测,福建-厦门,,,,,,,,,ABCDEFGH,x97-脑机接口
15,诚益通-300,下游应用-康复设备,北京,与清华大学合作开发非侵入式脑机接口,,,,,,,,ABCDEFGH,x97-脑机接口
16,优刻得-688,下游应用-康复设备,上海,提供云平台数字底座，与脑虎科技合作,,,,,,,,ABCDEFGH,x97-脑机接口
17,乐普医疗-300,下游应用-康复设备,北京,脑机接口神经康复产品,,,,,,,,ABCDEFGH,x97-脑机接口
18,佳禾智能-300,下游应用-游戏与智能设备,东莞,,,,,,,,,ABCDEFGH,x97-脑机接口
19,汤姆猫,下游应用-游戏与智能设备,浙江-绍兴,脑机接口植入AI游戏，开发“意念操控”产品,,,,,,,,ABCDEFGH,x97-脑机接口
20,岩山科技,下游应用-游戏与智能设备,上海,非侵入式脑电交互技术应用于《黑神话：悟空》,,,,,,,,ABCDEFGH,x97-脑机接口
21,麒盛科技,下游应用-游戏与智能设备,浙江-嘉兴,公司对外投资睡眠产业相关技术与平台，包括双向脑机接口,,,,,,,,ABCDEFGH,x97-脑机接口
22,荣泰健康,下游应用-游戏与智能设备,上海,脑机交互联合实验室,,,,,,,,ABCDEFGH,x97-脑机接口
23,新华锦,领先企业-强脑科技,山东-青岛,,,,,,,,,ABCDEFGH,x97-脑机接口
24,趣睡科技-300,领先企业-强脑科技,四川-成都,,,,,,,,,ABCDEFGH,x97-脑机接口
25,瑞迈特-300,领先企业-强脑科技,北京,,,,,,,,,ABCDEFGH,x97-脑机接口
26,盈趣科技,领先企业-强脑科技,福建-厦门,,,,,,,,,ABCDEFGH,x97-脑机接口
27,中科信息,领先企业-强脑科技,四川-成都,,,,,,,,,ABCDEFGH,x97-脑机接口
28,嘉事堂,领先企业-强脑科技,北京,,,,,,,,,ABCDEFGH,x97-脑机接口
29,岩山科技,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
30,爱朋医疗-300,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
31,诚益通-300,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
32,创新医疗,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
33,乐普医疗-300,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
34,三博脑科-300,其他企业,,,,,,,,,,ABCDEFGH,x97-脑机接口
35,三博脑科-300,植入手术机器人,北京,三博脑科医院管理集团股份有限公司（即集团总部）与旗下的首都医科大学三博脑科医院在同一院区内,,,,,,,,ABCDEFGH,x97-脑机接口
36,联影医疗,植入手术机器人,上海,,,,,,,,,ABCDEFGH,x97-脑机接口
37,天智航,植入手术机器人,北京,,西三旗金隅科技园8号院2号楼,,,,,,,ABCDEFGH,x97-脑机接口
38,三友医疗,植入手术机器人,上海,,,,,,,,,ABCDEFGH,x97-脑机接口
39,博实股份,植入手术机器人,哈尔滨,智能设备供应商龙头，,"工业机器人、智能制造装备、智能工厂解决方案
",,,,,,,ABCDEFGH,x97-脑机接口
40,威高骨科,植入手术机器人,上海-威海,威高骨科已完成总部战略迁移，其总部现位于上海市，而原有的威海基地则作为重要的研发与生产中心保留。,,,,,,,,ABCDEFGH,x97-脑机接口
41,澳华内镜,植入手术机器人,上海,专注于电子内窥镜设备及诊疗耗材研发,,,,,,,,ABCDEFGH,x97-脑机接口
42,美好医疗,耗材,深圳,主营：家用呼吸机组件制造,人工植入耳蜗 龙头,脑机接口组件与耗材,,,,,,ABCDEFGH,x97-脑机接口
43,冠昊生物,耗材,广州,医学人工硬脑膜市占率A股第一,专注于再生医学领域,,,,,,,ABCDEFGH,x97-脑机接口
44,正海生物,耗材,烟台,医学人工硬脑膜市占率A股第2,烟台正海生物科技股份有限公司,,,,,,,ABCDEFGH,x97-脑机接口
45,迈普医学,耗材,广州,医学人工硬脑膜市占率A股第3,广州迈普再生医学科技股份有限公司,专注于高性能植入医疗器械,,,,,,ABCDEFGH,x97-脑机接口
46,佰仁医疗,耗材,北京,医学人工硬脑膜市占率A股第4,北京佰仁医疗科技股份有限公司,,,专注于心脏瓣膜置换与修复、先天性心脏病植介入治疗及外科软组织修复领域,,,,ABCDEFGH,x97-脑机接口
47,康拓医疗,耗材,西安,国内第一家取得PEEK颅骨修补产品注册证国产厂商,PEEK轻量化材料制品,西安康拓医疗技术股份有限公司,,,主要聚焦于神经外科（如PEEK颅骨修补板）、心胸外科（胸骨固定系统）及口腔科等领域,,,ABCDEFGH,x97-脑机接口
48,瑞华泰,耗材,深圳,主营：高性能PI 薄膜产品（让手机实现折叠/弯曲）,深圳瑞华泰薄膜科技股份有限公司,主要产品包括热控系列、电子系列、电工系列及功能性PI薄膜。这些材料广泛应用于柔性电子、5G通信、航天航空、轨道交通等领域。,,,,,,ABCDEFGH,x97-脑机接口
