序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,军工分为：火箭军，海军，空军，陆军，军工材料，其他,,,,,,,,,,,ABCDEFGH,x99-军工
2,光电股份,火箭军-光学制导,湖北-襄阳,,,,,,,,,ABCDEFGH,x99-军工
3,新光光电,火箭军-光学制导,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x99-军工
4,高德红外,火箭军-光学制导,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
5,海康威视,火箭军-光学制导,浙江-杭州,,,,,,,,,ABCDEFGH,x99-军工
6,睿创微纳-688,火箭军-光学制导,烟台,,,,,,,,,ABCDEFGH,x99-军工
7,航天长峰,火箭军-光学制导,北京,,,,,,,,,ABCDEFGH,x99-军工
8,久之洋-300,火箭军-光学制导,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
9,天箭科技,火箭军-雷达制导,四川-成都,,,,,,,,,ABCDEFGH,x99-军工
10,航天电子,火箭军-惯性制导,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
11,北方导航,火箭军-惯性制导,北京,,,,,,,,,ABCDEFGH,x99-军工
12,理工导航-688,火箭军-惯性制导,北京,,,,,,,,,ABCDEFGH,x99-军工
13,晨曦航空-300,火箭军-惯性制导,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
14,中天火箭,火箭军-动力,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
15,邵阳液压-300,火箭军-动力,湖南-邵阳,,,,,,,,,ABCDEFGH,x99-军工
16,国科军工-688,火箭军-动力,江西-南昌,,,,,,,,,ABCDEFGH,x99-军工
17,中兵红箭,火箭军-总装,湖南-湘潭,,,,,,,,,ABCDEFGH,x99-军工
18,高德红外,火箭军-总装,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
19,广东宏大,火箭军-总装,广东-广州,,,,,,,,,ABCDEFGH,x99-军工
20,长城军工,火箭军-总装,安徽-合肥,,,,,,,,,ABCDEFGH,x99-军工
21,洪都航空,火箭军-总装,江西-南昌,,,,,,,,,ABCDEFGH,x99-军工
22,中船科技,海军-船厂建设,上海,,,,,,,,,ABCDEFGH,x99-军工
23,中国重工,海军-船舶制造,北京,,,,,,,,,ABCDEFGH,x99-军工
24,中船防务,海军-船舶制造,广东-广州,,,,,,,,,ABCDEFGH,x99-军工
25,中国船舶,海军-船舶制造,上海,,,,,,,,,ABCDEFGH,x99-军工
26,亚光科技-300,海军-船舶制造,湖南-益阳,,,,,,,,,ABCDEFGH,x99-军工
27,江龙船艇-300,海军-船舶制造,广东-中山,,,,,,,,,ABCDEFGH,x99-军工
28,天海防务-300,海军-船舶制造,上海,,,,,,,,,ABCDEFGH,x99-军工
29,中国动力,海军-动力系统,河北-保定,,,,,,,,,ABCDEFGH,x99-军工
30,潍柴重机,海军-动力系统,山东-潍柴,,,,,,,,,ABCDEFGH,x99-军工
31,中国海防,海军-信息系统,北京,,,,,,,,,ABCDEFGH,x99-军工
32,久之洋-300,海军-信息系统,湖北-武汉,,,,,,,,,ABCDEFGH,x99-军工
33,海兰信-300,海军-信息系统,北京,,,,,,,,,ABCDEFGH,x99-军工
34,中科海迅,海军-信息系统,北京,,,,,,,,,ABCDEFGH,x99-军工
